userId,utcMicrosecondsSinceEpoch,jointHeadX,jointHeadY,jointHeadZ,jointNeckX,jointNeckY,jointNeckZ,jointLeftShoulderX,jointLeftShoulderY,jointLeftShoulderZ,jointRightShoulderX,jointRightShoulderY,jointRightShoulderZ,jointLeftElbowX,jointLeftElbowY,jointLeftElbowZ,jointRightElbowX,jointRightElbowY,jointRightElbowZ,jointLeftHandX,jointLeftHandY,jointLeftHandZ,jointRightHandX,jointRightHandY,jointRightHandZ,jointTorsoX,jointTorsoY,jointTorsoZ,jointLeftHipX,jointLeftHipY,jointLeftHipZ,jointRightHipX,jointRightHipY,jointRightHipZ,jointLeftKneeX,jointLeftKneeY,jointLeftKneeZ,jointRightKneeX,jointRightKneeY,jointRightKneeZ,jointLeftFootX,jointLeftFootY,jointLeftFootZ,jointRightFootX,jointRightFootY,jointRightFootZ
1, 1638291732339127, -58.1636, 479.412, 1958.95, -67.3385, 315.912, 1986.41, -141.223, 336.644, 2079.53, 6.54623, 295.18, 1893.28, -141.223, 135.453, 2079.53, 47.2765, 107.006, 1880.34, -141.224, -65.7385, 2079.53, -22.4115, -81.4471, 1889.62, -78.1779, 164.519, 2011.51, -132.486, 25.3232, 2091.41, -45.5484, 0.928482, 1981.83, -134.025, -275.937, 2153.97, -26.4897, -268.993, 2123.73, -148.608, -563.015, 2223.36, -39.2762, -554.859, 2057.07
1, 1638291732369939, -58.2439, 479.189, 1956.77, -67.1409, 315.896, 1986.41, -140.772, 337.901, 2079.44, 6.48972, 293.891, 1893.37, -140.771, 136.71, 2079.44, 48.5005, 107.222, 1880.59, -140.772, -64.4811, 2079.44, -22.1039, -80.9356, 1889.42, -77.8087, 164.879, 2013.68, -131.801, 26.8091, 2095.7, -45.1524, 0.913818, 1986.22, -134.111, -274.487, 2158.09, -26.3021, -279.406, 2106.71, -149.557, -561.359, 2228.48, -42.549, -567.712, 2098.96
1, 1638291732402604, -58.3665, 478.993, 1954.68, -67.7206, 316.634, 1985.44, -141.063, 339.547, 2078.49, 5.62183, 293.722, 1892.4, -141.063, 138.356, 2078.49, 45.0111, 105.876, 1881.43, -141.064, -62.8356, 2078.49, -23.2305, -83.1879, 1889.35, -79.1263, 165.824, 2013.59, -133.685, 28.4958, 2096.48, -47.3789, 1.53334, 1986.99, -136.926, -273.384, 2155.87, -30.3045, -272.421, 2122.8, -149.803, -561.718, 2220.44, -41.7012, -554.229, 2058.55
1, 1638291732435674, -58.5707, 479.027, 1953.63, -68.3462, 316.475, 1984.64, -142.24, 339.376, 2077.26, 5.54721, 293.575, 1892.02, -142.24, 138.185, 2077.26, 43.5112, 105.544, 1880.97, -142.24, -63.0066, 2077.26, -23.6948, -83.897, 1889.07, -80.2279, 165.635, 2012.46, -135.587, 28.2685, 2094.77, -48.6324, 1.32018, 1985.78, -136.45, -274.135, 2151.46, -28.6782, -269.853, 2128.06, -151.306, -561.033, 2221.71, -41.4944, -550.638, 2032.18
1, 1638291732469253, -58.9949, 479.925, 1955.11, -68.8065, 317.101, 1984.77, -143.113, 339.644, 2077.15, 5.50031, 294.558, 1892.39, -143.113, 138.453, 2077.15, 44.4706, 104.693, 1881.22, -143.114, -62.7385, 2077.15, -25.9847, -83.473, 1890.68, -81.1089, 166.135, 2011.72, -137.132, 28.4324, 2093.01, -49.6905, 1.90497, 1984.31, -136.799, -273.48, 2152.28, -27.3852, -266.854, 2131.5, -150.064, -561.375, 2218.81, -41.6802, -546.626, 2022.22
1, 1638291732502520, -59.2167, 479.404, 1952.84, -68.5867, 317.031, 1984.19, -141.579, 340.015, 2077.49, 4.40518, 294.048, 1890.89, -141.579, 138.824, 2077.49, 43.6176, 106.437, 1882.33, -141.579, -62.3675, 2077.49, -25.231, -82.3027, 1892.48, -80.1991, 166.217, 2012.25, -134.763, 28.9273, 2095.22, -48.8603, 1.87851, 1985.42, -132.741, -272.494, 2156.9, -25.19, -264.7, 2136.71, -144.777, -561.493, 2218.72, -39.4834, -546.13, 2019.46
1, 1638291732535798, -59.3823, 479.82, 1954.22, -69.69, 317.328, 1984.63, -141.948, 340.117, 2078.55, 2.56819, 294.538, 1890.71, -141.948, 138.926, 2078.55, 42.9743, 106.507, 1882.51, -141.949, -62.2655, 2078.55, -25.0261, -82.4648, 1894.1, -81.5586, 166.423, 2012.11, -135.942, 28.9266, 2094.86, -50.9121, 2.10924, 1984.33, -137.914, -273.028, 2153.75, -28.7118, -265.564, 2134.17, -147.757, -561.464, 2218.6, -42.2129, -545.317, 2014.59
1, 1638291732572334, -59.6154, 479.241, 1951.9, -69.5092, 316.931, 1983.1, -143.859, 340.041, 2075.26, 4.84076, 293.821, 1890.94, -143.859, 138.85, 2075.26, 42.6245, 107.163, 1882.11, -143.86, -62.3414, 2075.26, -25.6704, -81.6659, 1894.44, -81.6703, 166.143, 2011.1, -137.588, 28.9546, 2093.34, -50.0749, 1.75345, 1984.87, -137.006, -273.272, 2150.92, -24.8994, -265.883, 2134.42, -150.554, -559.887, 2222.51, -40.2448, -546.13, 2014.87
1, 1638291732607191, -59.707, 478.823, 1950.24, -69.9979, 316.843, 1982.44, -143.241, 340.631, 2075.33, 3.2454, 293.054, 1889.56, -143.241, 139.44, 2075.33, 43.2923, 105.259, 1882.52, -143.242, -61.751, 2075.33, -27.3119, -82.7655, 1893.93, -82.3242, 166.229, 2011.3, -137.743, 29.6115, 2094.8, -51.5579, 1.61954, 1985.51, -135.544, -272.53, 2152.87, -27.2217, -277.645, 2109.04, -148.304, -558.554, 2227.15, -45.3555, -564.362, 2066.17
1, 1638291732646008, -59.7286, 478.359, 1948.41, -70.4791, 316.23, 1981.86, -144.934, 340.585, 2073.63, 3.97539, 291.875, 1890.09, -144.934, 139.394, 2073.63, 42.8572, 105.942, 1882.7, -144.934, -61.7974, 2073.63, -25.4642, -83.0791, 1890.03, -83.4156, 165.78, 2011.3, -140.16, 29.6596, 2094.72, -52.5441, 0.999405, 1986.73, -137.702, -272.902, 2150.57, -27.7872, -272.197, 2123.82, -150.313, -558.583, 2226.33, -42.9359, -551.73, 2044.5
