participant,session,condition,trialType,posture,blockNum,trialNum,switchTrialType,congruantTrialType,cueType,shapeType,shapeColor,response,correctResponse,correct,reactionTime,date,utcTime,jointHeadDisplacement,jointTorsoDisplacement
1,1,1,experiment,standing,3,3,switch,congruant,dashed,square,blue,right,right,yes,0.721444845199585,2021-11-10 10:22:00,1636562056.79975,2.4790894053335064,2.7485750964307236
1,1,1,experiment,standing,3,4,switch,incongruant,solid,square,blue,left,left,yes,0.821382999420166,2021-11-10 10:22:00,1636562058.9886117,2.169081434912301,2.504294969840382
1,1,1,experiment,standing,3,5,noswitch,congruant,solid,square,blue,left,left,yes,0.5244960784912109,2021-11-10 10:22:00,1636562060.8778152,2.243330657307827,2.4300305226593304
1,1,1,experiment,standing,3,6,switch,congruant,dashed,triangle,yellow,left,left,yes,0.7319519519805908,2021-11-10 10:22:00,1636562062.9452574,2.161673235261879,2.4336946398932127
1,1,1,experiment,standing,3,7,noswitch,congruant,dashed,triangle,blue,left,left,yes,0.5713138580322266,2021-11-10 10:22:00,1636562064.8365514,2.1891170895943786,2.5280167427794207
1,1,1,experiment,standing,3,8,switch,incongruant,solid,triangle,yellow,right,right,yes,0.3912420272827148,2021-11-10 10:22:00,1636562066.610996,2.565709038847216,2.5369866609283265
1,1,1,experiment,standing,3,9,noswitch,incongruant,solid,triangle,blue,left,left,yes,1.1526780128479004,2021-11-10 10:22:00,1636562069.0923903,2.237728273963552,2.4413408048713503
1,1,1,experiment,standing,3,10,switch,incongruant,dashed,square,yellow,right,right,yes,0.6558749675750732,2021-11-10 10:22:00,1636562071.1022234,2.1147019738455533,2.68474552430981
1,1,1,experiment,standing,3,11,noswitch,incongruant,dashed,triangle,blue,left,left,yes,0.8455450534820557,2021-11-10 10:22:00,1636562073.292292,2.29700521923851,2.283964283207465
1,1,1,experiment,standing,3,12,noswitch,congruant,dashed,triangle,yellow,left,left,yes,0.6064150333404541,2021-11-10 10:22:00,1636562075.2405844,1.9972212678387236,2.1983947097256764
1,1,1,experiment,standing,3,13,switch,incongruant,solid,square,yellow,right,right,yes,0.6402299404144287,2021-11-10 10:22:00,1636562077.249845,2.387930499290054,2.627870375064048
1,1,1,experiment,standing,3,14,noswitch,congruant,solid,square,yellow,right,right,yes,0.8772380352020264,2021-11-10 10:22:00,1636562079.4954307,2.403385638732108,2.5481891355058215
1,1,1,experiment,standing,3,15,noswitch,incongruant,solid,square,blue,left,left,yes,0.4390730857849121,2021-11-10 10:22:00,1636562081.267702,2.2329785275595264,2.4682258987881394
1,1,1,experiment,standing,3,16,switch,incongruant,dashed,square,yellow,right,right,yes,0.6210019588470459,2021-11-10 10:22:00,1636562083.276717,2.448214447204755,2.5258429519752315
1,1,1,experiment,standing,3,17,noswitch,congruant,dashed,square,blue,right,right,yes,0.7652430534362793,2021-11-10 10:22:00,1636562085.373471,2.2433460590041543,2.57047409220618
1,1,1,experiment,standing,3,18,noswitch,congruant,dashed,square,yellow,right,right,yes,0.3679060935974121,2021-11-10 10:22:00,1636562087.0864742,2.034304887645192,2.397069907310635
1,1,1,experiment,standing,3,19,noswitch,congruant,dashed,square,blue,right,right,yes,0.4186761379241943,2021-11-10 10:22:00,1636562088.8580832,2.457481978007761,2.8405286572922432
1,1,1,experiment,standing,3,20,switch,congruant,solid,triangle,yellow,right,right,yes,0.7985060214996338,2021-11-10 10:22:00,1636562090.9859016,2.3621729273713905,2.550115820816798
1,1,1,experiment,standing,3,21,switch,congruant,dashed,square,blue,right,right,yes,0.7883701324462891,2021-11-10 10:22:00,1636562093.1133597,2.08886624157547,2.7149542352999103
1,1,1,experiment,standing,3,22,noswitch,congruant,dashed,square,yellow,right,right,yes,1.1396028995513916,2021-11-10 10:22:00,1636562095.5965917,2.2132750944004655,2.5718624266557395
1,1,1,experiment,standing,3,23,noswitch,incongruant,dashed,triangle,blue,left,left,yes,0.5510399341583252,2021-11-10 10:22:00,1636562097.4927557,2.1634905449321926,2.9781404746672977
1,1,1,experiment,standing,3,24,noswitch,congruant,dashed,triangle,yellow,left,left,yes,0.3548829555511474,2021-11-10 10:22:00,1636562099.2034502,2.31918190926923,2.434113195156059
1,1,1,experiment,standing,3,25,noswitch,congruant,dashed,triangle,yellow,left,left,yes,0.2764818668365478,2021-11-10 10:22:00,1636562100.7973154,1.951828708189838,2.436247169831906
1,1,1,experiment,standing,3,26,switch,incongruant,solid,triangle,yellow,right,right,yes,0.9499959945678712,2021-11-10 10:22:00,1636562103.108951,1.8988257240413098,2.154197254548561
1,1,1,experiment,standing,3,27,switch,incongruant,dashed,triangle,blue,left,left,yes,0.6658999919891357,2021-11-10 10:22:00,1636562105.1187782,1.9917336186965264,2.1881661998680713
1,1,1,experiment,standing,3,28,switch,incongruant,solid,square,yellow,timeout,right,no,,2021-11-10 10:22:00,1636562107.8948822,1.9827471753758952,2.4374568697287473
1,1,1,experiment,standing,3,29,switch,congruant,dashed,square,blue,right,right,yes,1.253486156463623,2021-11-10 10:22:00,1636562115.4903529,2.2125917296628907,2.4319948987132674
1,1,1,experiment,standing,3,30,switch,incongruant,solid,triangle,blue,left,left,yes,0.4964220523834228,2021-11-10 10:22:00,1636562117.3196738,2.228321795949439,2.640837099774857
1,1,1,experiment,standing,3,31,switch,incongruant,dashed,square,blue,right,right,yes,0.3256649971008301,2021-11-10 10:22:00,1636562119.0342162,2.169737136520397,2.1299347789736345
1,1,1,experiment,standing,3,32,switch,congruant,solid,triangle,yellow,right,right,yes,1.2140119075775146,2021-11-10 10:22:00,1636562121.5744765,2.187816854637712,2.4076754394281057
1,1,1,experiment,standing,3,33,noswitch,incongruant,solid,triangle,blue,left,left,yes,0.3538260459899902,2021-11-10 10:22:00,1636562123.2871644,2.0933818405449185,2.252789173281088
1,1,1,experiment,standing,3,34,switch,congruant,dashed,triangle,yellow,left,left,yes,1.0622520446777344,2021-11-10 10:22:00,1636562125.7096434,2.1780402004469224,2.3997831460011243
1,1,1,experiment,standing,3,35,switch,congruant,solid,triangle,blue,left,left,yes,0.3444831371307373,2021-11-10 10:22:00,1636562127.3620436,2.2277014698616133,2.9275165459300925
1,1,1,experiment,standing,3,36,noswitch,congruant,solid,triangle,blue,left,left,yes,0.3120069503784179,2021-11-10 10:22:00,1636562129.0146997,2.1566764888245413,2.752805523116783
1,1,1,experiment,standing,3,37,switch,congruant,dashed,triangle,blue,right,left,no,0.8972690105438232,2021-11-10 10:22:00,1636562131.2615397,2.049491920110607,2.1967384853190888
1,1,1,experiment,standing,3,38,noswitch,incongruant,dashed,square,yellow,timeout,right,no,,2021-11-10 10:22:00,1636562139.033104,2.1217728056290226,2.1709677251844184
1,1,1,experiment,standing,3,39,noswitch,incongruant,dashed,triangle,yellow,left,left,yes,0.5199081897735596,2021-11-10 10:22:00,1636562145.9173913,2.0175700463597863,2.7449928170024944
1,1,1,experiment,standing,3,40,switch,congruant,solid,square,blue,left,left,yes,0.6011888980865479,2021-11-10 10:22:00,1636562147.8667068,2.125799403427035,2.228656033302872
1,1,1,experiment,standing,3,41,noswitch,incongruant,solid,square,yellow,right,right,yes,0.5425357818603516,2021-11-10 10:22:00,1636562149.7591934,1.9404526809862723,2.1035248408525264
1,1,1,experiment,standing,3,42,noswitch,congruant,solid,square,yellow,right,right,yes,0.519273042678833,2021-11-10 10:22:00,1636562151.6491313,1.9709285086477486,1.8077192662263228
